tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
Root,Root,root,Root,Root,,,,,,,
k__Bacteria,Root,rank_0,k__Bacteria,Root,k__Bacteria,,,,,,
s__bacterium,k__Bacteria,rank_1,s__bacterium,Root,k__Bacteria,s__bacterium,,,,,
k__Eukaryota,Root,rank_0,k__Eukaryota,Root,k__Eukaryota,,,,,,
p__Streptophyta,k__Eukaryota,rank_1,p__Streptophyta,Root,k__Eukaryota,p__Streptophyta,,,,,
o__Solanales,p__Streptophyta,rank_2,o__Solanales,Root,k__Eukaryota,p__Streptophyta,o__Solanales,,,,
f__Solanaceae,o__Solanales,rank_3,f__Solanaceae,Root,k__Eukaryota,p__Streptophyta,o__Solanales,f__Solanaceae,,,
g__Solanum,f__Solanaceae,rank_4,g__Solanum,Root,k__Eukaryota,p__Streptophyta,o__Solanales,f__Solanaceae,g__Solanum,,
s__tuberosum,g__Solanum,rank_5,s__tuberosum,Root,k__Eukaryota,p__Streptophyta,o__Solanales,f__Solanaceae,g__Solanum,s__tuberosum,
p__Actinobacteria,k__Bacteria,rank_1,p__Actinobacteria,Root,k__Bacteria,p__Actinobacteria,,,,,
c__Actinobacteria,p__Actinobacteria,rank_2,c__Actinobacteria,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,,,,
o__Micrococcales,c__Actinobacteria,rank_3,o__Micrococcales,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,,,
f__Micrococcaceae,o__Micrococcales,rank_4,f__Micrococcaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,,
g__Pseudarthrobacter,f__Micrococcaceae,rank_5,g__Pseudarthrobacter,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Pseudarthrobacter,
s__siccitolerans,g__Pseudarthrobacter,rank_6,s__siccitolerans,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Pseudarthrobacter,s__siccitolerans
o__Streptomycetales,c__Actinobacteria,rank_3,o__Streptomycetales,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,,,
f__Streptomycetaceae,o__Streptomycetales,rank_4,f__Streptomycetaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,,
g__Streptomyces,f__Streptomycetaceae,rank_5,g__Streptomyces,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,
s__lydicus,g__Streptomyces,rank_6,s__lydicus,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__lydicus
p__Proteobacteria,k__Bacteria,rank_1,p__Proteobacteria,Root,k__Bacteria,p__Proteobacteria,,,,,
c__Gammaproteobacteria,p__Proteobacteria,rank_2,c__Gammaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,
o__Enterobacterales,c__Gammaproteobacteria,rank_3,o__Enterobacterales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,,,
f__Enterobacteriaceae,o__Enterobacterales,rank_4,f__Enterobacteriaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,,
g__Citrobacter,f__Enterobacteriaceae,rank_5,g__Citrobacter,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Citrobacter,
s__braakii,g__Citrobacter,rank_6,s__braakii,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Citrobacter,s__braakii
o__Pseudomonadales,c__Gammaproteobacteria,rank_3,o__Pseudomonadales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,,,
f__Pseudomonadaceae,o__Pseudomonadales,rank_4,f__Pseudomonadaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,,
g__Pseudomonas,f__Pseudomonadaceae,rank_5,g__Pseudomonas,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,
s__viridiflava,g__Pseudomonas,rank_6,s__viridiflava,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__viridiflava
o__Xanthomonadales,c__Gammaproteobacteria,rank_3,o__Xanthomonadales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,,,
f__Xanthomonadaceae,o__Xanthomonadales,rank_4,f__Xanthomonadaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,,
g__Stenotrophomonas,f__Xanthomonadaceae,rank_5,g__Stenotrophomonas,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,
s__sp._BIIR7,g__Stenotrophomonas,rank_6,s__sp._BIIR7,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__sp._BIIR7
c__Alphaproteobacteria,p__Proteobacteria,rank_2,c__Alphaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,
o__Rhodobacterales,c__Alphaproteobacteria,rank_3,o__Rhodobacterales,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,,,
f__Rhodobacteraceae,o__Rhodobacterales,rank_4,f__Rhodobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,
g__Pacificibacter,f__Rhodobacteraceae,rank_5,g__Pacificibacter,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pacificibacter,
s__marinus,g__Pacificibacter,rank_6,s__marinus,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pacificibacter,s__marinus
c__Epsilonproteobacteria,p__Proteobacteria,rank_2,c__Epsilonproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,,,,
o__Campylobacterales,c__Epsilonproteobacteria,rank_3,o__Campylobacterales,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,,,
f__Campylobacteraceae,o__Campylobacterales,rank_4,f__Campylobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,,
g__Campylobacter,f__Campylobacteraceae,rank_5,g__Campylobacter,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,
s__ureolyticus,g__Campylobacter,rank_6,s__ureolyticus,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__ureolyticus
f__Morganellaceae,o__Enterobacterales,rank_4,f__Morganellaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,,
g__Morganella,f__Morganellaceae,rank_5,g__Morganella,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__Morganella,
s__psychrotolerans,g__Morganella,rank_6,s__psychrotolerans,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__Morganella,s__psychrotolerans
f__Helicobacteraceae,o__Campylobacterales,rank_4,f__Helicobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,,
g__Helicobacter,f__Helicobacteraceae,rank_5,g__Helicobacter,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,
s__pylori,g__Helicobacter,rank_6,s__pylori,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,s__pylori
s__bilis,g__Helicobacter,rank_6,s__bilis,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,s__bilis
g__Enterobacter,f__Enterobacteriaceae,rank_5,g__Enterobacter,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Enterobacter,
s__cloacae,g__Enterobacter,rank_6,s__cloacae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Enterobacter,s__cloacae
o__Pseudonocardiales,c__Actinobacteria,rank_3,o__Pseudonocardiales,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,,,
f__Pseudonocardiaceae,o__Pseudonocardiales,rank_4,f__Pseudonocardiaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,,
g__Saccharopolyspora,f__Pseudonocardiaceae,rank_5,g__Saccharopolyspora,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Saccharopolyspora,
s__antimicrobica,g__Saccharopolyspora,rank_6,s__antimicrobica,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Saccharopolyspora,s__antimicrobica
s__heilmannii,g__Helicobacter,rank_6,s__heilmannii,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,s__heilmannii
p__Firmicutes,k__Bacteria,rank_1,p__Firmicutes,Root,k__Bacteria,p__Firmicutes,,,,,
c__Bacilli,p__Firmicutes,rank_2,c__Bacilli,Root,k__Bacteria,p__Firmicutes,c__Bacilli,,,,
o__Bacillales,c__Bacilli,rank_3,o__Bacillales,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,,,
f__Staphylococcaceae,o__Bacillales,rank_4,f__Staphylococcaceae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,,
g__Staphylococcus,f__Staphylococcaceae,rank_5,g__Staphylococcus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,
s__aureus,g__Staphylococcus,rank_6,s__aureus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__aureus
c__Betaproteobacteria,p__Proteobacteria,rank_2,c__Betaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,,,,
o__Burkholderiales,c__Betaproteobacteria,rank_3,o__Burkholderiales,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,,,
f__Comamonadaceae,o__Burkholderiales,rank_4,f__Comamonadaceae,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,
g__Acidovorax,f__Comamonadaceae,rank_5,g__Acidovorax,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,
s__sp._Root275,g__Acidovorax,rank_6,s__sp._Root275,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__sp._Root275
o__Corynebacteriales,c__Actinobacteria,rank_3,o__Corynebacteriales,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,,,
f__Mycobacteriaceae,o__Corynebacteriales,rank_4,f__Mycobacteriaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,,
g__Mycobacterium,f__Mycobacteriaceae,rank_5,g__Mycobacterium,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,
s__pseudoshottsii,g__Mycobacterium,rank_6,s__pseudoshottsii,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__pseudoshottsii
s__aeruginosa,g__Pseudomonas,rank_6,s__aeruginosa,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__aeruginosa
s__sp._DC1,g__Enterobacter,rank_6,s__sp._DC1,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Enterobacter,s__sp._DC1
s__tuberculosis,g__Mycobacterium,rank_6,s__tuberculosis,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__tuberculosis
f__Burkholderiaceae,o__Burkholderiales,rank_4,f__Burkholderiaceae,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,,
g__Burkholderia,f__Burkholderiaceae,rank_5,g__Burkholderia,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,
s__ubonensis,g__Burkholderia,rank_6,s__ubonensis,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__ubonensis
s__sp._T,g__Pseudomonas,rank_6,s__sp._T,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__sp._T
o__Vibrionales,c__Gammaproteobacteria,rank_3,o__Vibrionales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,,,
f__Vibrionaceae,o__Vibrionales,rank_4,f__Vibrionaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,,
g__Vibrio,f__Vibrionaceae,rank_5,g__Vibrio,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,
s__parahaemolyticus,g__Vibrio,rank_6,s__parahaemolyticus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,s__parahaemolyticus
o__Rhizobiales,c__Alphaproteobacteria,rank_3,o__Rhizobiales,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,,,
f__Brucellaceae,o__Rhizobiales,rank_4,f__Brucellaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Brucellaceae,,
g__Brucella,f__Brucellaceae,rank_5,g__Brucella,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Brucellaceae,g__Brucella,
s__abortus,g__Brucella,rank_6,s__abortus,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Brucellaceae,g__Brucella,s__abortus
o__Pasteurellales,c__Gammaproteobacteria,rank_3,o__Pasteurellales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,,,
f__Pasteurellaceae,o__Pasteurellales,rank_4,f__Pasteurellaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,,
g__Rodentibacter,f__Pasteurellaceae,rank_5,g__Rodentibacter,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Rodentibacter,
s__ratti,g__Rodentibacter,rank_6,s__ratti,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Rodentibacter,s__ratti
p__Bacteroidetes,k__Bacteria,rank_1,p__Bacteroidetes,Root,k__Bacteria,p__Bacteroidetes,,,,,
c__Sphingobacteriia,p__Bacteroidetes,rank_2,c__Sphingobacteriia,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,,,,
o__Sphingobacteriales,c__Sphingobacteriia,rank_3,o__Sphingobacteriales,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,,,
f__Sphingobacteriaceae,o__Sphingobacteriales,rank_4,f__Sphingobacteriaceae,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,,
g__Sphingobacterium,f__Sphingobacteriaceae,rank_5,g__Sphingobacterium,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium,
s__sp._B29,g__Sphingobacterium,rank_6,s__sp._B29,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium,s__sp._B29
s__sp._CB00072,g__Streptomyces,rank_6,s__sp._CB00072,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp._CB00072
s__moorei,g__Pseudomonas,rank_6,s__moorei,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__moorei
f__Bacillaceae,o__Bacillales,rank_4,f__Bacillaceae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,,
g__Bacillus,f__Bacillaceae,rank_5,g__Bacillus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,
s__subtilis,g__Bacillus,rank_6,s__subtilis,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__subtilis
s__organism,Root,rank_0,s__organism,Root,s__organism,,,,,,
p__Ascomycota,k__Eukaryota,rank_1,p__Ascomycota,Root,k__Eukaryota,p__Ascomycota,,,,,
c__Sordariomycetes,p__Ascomycota,rank_2,c__Sordariomycetes,Root,k__Eukaryota,p__Ascomycota,c__Sordariomycetes,,,,
o__Sordariales,c__Sordariomycetes,rank_3,o__Sordariales,Root,k__Eukaryota,p__Ascomycota,c__Sordariomycetes,o__Sordariales,,,
g__Madurella,o__Sordariales,rank_4,g__Madurella,Root,k__Eukaryota,p__Ascomycota,c__Sordariomycetes,o__Sordariales,g__Madurella,,
s__mycetomatis,g__Madurella,rank_5,s__mycetomatis,Root,k__Eukaryota,p__Ascomycota,c__Sordariomycetes,o__Sordariales,g__Madurella,s__mycetomatis,
