seqname,tax_id
AJF12707,s__bacterium
AJF12706,s__bacterium
AJF12705,s__bacterium
AJF12704,s__bacterium
AJF12703,s__bacterium
AJF12702,s__bacterium
AJF12701,s__bacterium
AJF12700,s__bacterium
CAC43857,s__tuberosum
CCQ47851,s__siccitolerans
AJT64200,s__lydicus
AJF12709,s__bacterium
AJF12708,s__bacterium
KHE03628,s__braakii
KTB59621,s__viridiflava
OEZ00892,s__sp._BIIR7
SLN44032,s__marinus
AKT89900,s__ureolyticus
OBU03330,s__psychrotolerans
AAM70367,s__pylori
EEO24412,s__bilis
AOE96936,s__cloacae
ADO04822,s__pylori
SFO19259,s__antimicrobica
AAM70369,s__heilmannii
KOS59700,s__aureus
KRD41977,s__sp._Root275
GAQ33073,s__pseudoshottsii
ERW58280,s__aeruginosa
EWG69452,s__sp._DC1
KAL61951,s__tuberculosis
SHD45560,s__aureus
KWD52410,s__ubonensis
OQR38451,s__sp._T
ODX35046,s__parahaemolyticus
ENP86712,s__abortus
OOF88729,s__ratti
APU98326,s__sp._B29
OKI55380,s__sp._CB00072
SDR46696,s__moorei
API97012,s__subtilis
ACB99071,s__organism
ACB99070,s__organism
ACB99073,s__organism
ACB99072,s__organism
ACB99075,s__organism
ACB99074,s__organism
ACB99077,s__organism
ACB99076,s__organism
ACB99079,s__organism
ACB99078,s__organism
KXX82935,s__mycetomatis
COW09942,s__tuberculosis
CYD73743,s__aureus
ANY61700,s__aquatica
ANH93582,s__sp._SAT1
OPC56530,s__bruuniana
KOU56125,s__sp._MMG1522
KQS71905,s__sp._Leaf380
APG92109,s__americanum
ESN57620,s__pneumoniae
KFL14912,s__stearothermophilus
KPX98185,s__amygdali
SCB27522,s__multihospitium
AAC61502,s__sp._WH_7805
CRI57410,s__sp._CCOS_191
OQR89817,s__hypogyna
KQW13256,s__sp._Root369
SFC52228,s__nitratireducens
OEJ47757,s__agglomeratus
SCA88088,s__glycinifermentans
KPL53908,s__hirschii
KAK61083,s__bronchiseptica
EEQ80913,s__warneri
SET61048,s__graminis
KND23424,s__europaeiscabiei
CCJ03665,s__canettii
SDC68148,s__sp._TNe-862
KXV64335,s__oxydans
AMW77798,s__sp._TGL-Y2
SIR52401,s__avicenniae
KMQ44103,s__rubrum
SDO18963,s__insigne
CEO28143,s__sordellii
AMQ82590,s__sp._MS586
SEM41221,s__lupini
AHY10433,s__freundii
ODQ85602,s__alimentaria
KCV83223,s__atlanticum
SHE03274,s__aureus
AOE77420,s__fluorescens
SAQ50119,s__oxytoca
EYM86633,s__aureus
SAL54183,s__turbans
ONN51510,s__genomosp._33YU
SCZ25275,s__marina
ABI63062,s__bethesdensis
ANH47716,s__pylori
GAS87435,s__brisbanense
ACR27947,s__glumae
EDQ03361,s__indolifex
ATX04744,s__freundii
KUQ42944,s__ludwigii
OGX81497,s__coccineus
CCD89026,s__sp._ORS_285
CRD94516,s__pertussis
BAJ32115,s__setae
ENI43643,s__aureus
OMF68100,s__sp._FSL_R5-0765
OKJ53843,s__sp._CB02261
SFL63759,s__sp._NFACC46-3
KPD15461,s__sp._ST111
CDX38603,s__plurifarium
KPY05211,s__savastanoi
KWT62989,s__albus
SFD58931,s__yuzhufengensis
KIE87267,s__pittii
SCG11857,s__sp._MnatMP-M27
KKM94700,s__sediment_metagenome
SDF17984,s__cellulans
AHD11153,s__gallaeciensis
KPY72327,s__syringae
AOB31990,s__sp._H567
SDJ61883,s__gudaonensis
SEG86121,s__sp._ok061
AUC93254,s__sp._SK17
EDQ32040,s__phototrophica
OLO74000,s__oris
AHA87778,s__pylori
CEG42892,s__halstedii
KVC78488,s__ubonensis
OBY93188,s__sp._AU11447
AJF12381,s__thaumarchaeote
AJF12952,s__bacterium
AJF12953,s__bacterium
AJF12951,s__bacterium
AJF12956,s__bacterium
AJF12955,s__bacterium
AJF12958,s__bacterium
AJF12959,s__bacterium
KFI33222,s__missouriensis
AQT38955,s__sp.
KGF70949,s__sp._BAL378
ADU39019,s__paradoxus
ORL89763,s__hoagii
EPX75944,s__mucosus
CCE10657,s__sp._STM_3843
SMG36344,s__psychroaquaticum
ODS55212,s__sp._SCN_61-19
AKZ54368,s__ambofaciens
ALF59316,s__urativorans
